order,name,type,format,year,varlab
1,ER30001,float,%9.0g,1968,1968 INTERVIEW NUMBER
2,ER30002,float,%9.0g,1968,PERSON NUMBER                         68
3,V5,float,%9.0g,1968,HOUSE VALUE
4,V103,byte,%8.0g,1968,OWN OR RENT
5,V115,float,%9.0g,1968,NUMBER IN FAMILY
6,V190,byte,%8.0g,1968,TYPE STRUCTURE
7,V439,float,%9.0g,1968,1968 FAMILY WEIGHT
8,ER30003,byte,%8.0g,1968,RELATIONSHIP TO HEAD                  68
9,ER30004,float,%9.0g,1968,AGE OF INDIVIDUAL                     68
10,ER30005,byte,%8.0g,1968,MARR PAIRS INDICATOR                  68
11,ER30006,byte,%8.0g,1968,WHETHER MOVED IN                      68
12,ER30019,float,%9.0g,1968,INDIVIDUAL WEIGHT                     68
13,V449,float,%9.0g,1969,HOUSE VALUE
14,V542,byte,%8.0g,1969,CHANGE IN FU COMP
15,V549,float,%9.0g,1969,TOTAL # IN FU
16,V593,byte,%8.0g,1969,OWN OR RENT?
17,V603,byte,%8.0g,1969,MOVED SINCE SPRNG68
18,V604,byte,%8.0g,1969,WHY MOVED
19,V791,byte,%8.0g,1969,SAME HEAD 68-69?
20,V810,byte,%8.0g,1969,TYPE OF STRUCTURE
21,V1014,float,%9.0g,1969,1969 FAMILY WEIGHT
22,ER30020,float,%9.0g,1969,1969 INTERVIEW NUMBER
23,ER30021,float,%9.0g,1969,SEQUENCE NUMBER                       69
24,ER30022,byte,%8.0g,1969,RELATIONSHIP TO HEAD                  69
25,ER30023,float,%9.0g,1969,AGE OF INDIVIDUAL                     69
26,ER30024,byte,%8.0g,1969,MARR PAIRS INDICATOR                  69
27,ER30025,byte,%8.0g,1969,WHETHER MOVED IN/OUT                  69
28,ER30042,float,%9.0g,1969,INDIVIDUAL WEIGHT                     69
29,V1109,byte,%8.0g,1970,CHANGE IN FU COMP
30,V1122,float,%9.0g,1970,HOUSE VALUE
31,V1238,float,%9.0g,1970,# IN FU
32,V1264,byte,%8.0g,1970,OWN OR RENT?
33,V1274,byte,%8.0g,1970,MOVED SINCE SPRING
34,V1275,byte,%8.0g,1970,WHY MOVED
35,V1461,byte,%8.0g,1970,SAME HEAD ?
36,V1499,byte,%8.0g,1970,TYPE OF STRUCTURE
37,V1609,float,%9.0g,1970,WEIGHT
38,ER30043,float,%9.0g,1970,1970 INTERVIEW NUMBER
39,ER30044,float,%9.0g,1970,SEQUENCE NUMBER                       70
40,ER30045,byte,%8.0g,1970,RELATIONSHIP TO HEAD                  70
41,ER30046,float,%9.0g,1970,AGE OF INDIVIDUAL                     70
42,ER30047,byte,%8.0g,1970,MARR PAIRS INDICATOR                  70
43,ER30048,byte,%8.0g,1970,WHETHER MOVED IN/OUT                  70
44,ER30066,float,%9.0g,1970,INDIVIDUAL WEIGHT                     70
45,V1809,byte,%8.0g,1971,CHANGE IN FU COMP
46,V1823,float,%9.0g,1971,HOUSE VALUE
47,V1941,float,%9.0g,1971,# IN FU
48,V1967,byte,%8.0g,1971,OWN OR RENT?
49,V1979,byte,%8.0g,1971,MOVED SINCE SPRING
50,V1980,byte,%8.0g,1971,WHY MOVED?
51,V2165,byte,%8.0g,1971,SAME HEAD?
52,V2211,byte,%8.0g,1971,TYPE OF STRUCTURE
53,V2321,float,%9.0g,1971,WEIGHT
54,ER30067,float,%9.0g,1971,1971 INTERVIEW NUMBER
55,ER30068,float,%9.0g,1971,SEQUENCE NUMBER                       71
56,ER30069,byte,%8.0g,1971,RELATIONSHIP TO HEAD                  71
57,ER30070,float,%9.0g,1971,AGE OF INDIVIDUAL                     71
58,ER30071,byte,%8.0g,1971,MARR PAIRS INDICATOR                  71
59,ER30072,byte,%8.0g,1971,WHETHER MOVED IN/OUT                  71
60,ER30090,float,%9.0g,1971,INDIVIDUAL WEIGHT                     71
61,V2410,byte,%8.0g,1972,CHANGE IN FU COMP
62,V2423,float,%9.0g,1972,HOUSE VALUE
63,V2541,float,%9.0g,1972,# IN FU
64,V2566,byte,%8.0g,1972,OWN OR RENT?
65,V2577,byte,%8.0g,1972,MOVED SINCE SPRING
66,V2578,byte,%8.0g,1972,WHY MOVED?
67,V2791,byte,%8.0g,1972,SAME HEAD?
68,V2837,byte,%8.0g,1972,TYPE OF STRUCTURE
69,V2968,float,%9.0g,1972,1972 WEIGHTS
70,ER30091,float,%9.0g,1972,1972 INTERVIEW NUMBER
71,ER30092,float,%9.0g,1972,SEQUENCE NUMBER                       72
72,ER30093,byte,%8.0g,1972,RELATIONSHIP TO HEAD                  72
73,ER30094,float,%9.0g,1972,AGE OF INDIVIDUAL                     72
74,ER30095,byte,%8.0g,1972,MARR PAIRS INDICATOR                  72
75,ER30096,byte,%8.0g,1972,WHETHER MOVED IN/OUT                  72
76,ER30116,float,%9.0g,1972,INDIVIDUAL WEIGHT                     72
77,V3010,byte,%8.0g,1973,FAM COMP CHANGE
78,V3021,float,%9.0g,1973,HOUSE VALUE
79,V3094,float,%9.0g,1973,NUMBER IN FU
80,V3108,byte,%8.0g,1973,OWN OR RENT
81,V3110,byte,%8.0g,1973,MOVED SINCE SPRING
82,V3111,byte,%8.0g,1973,WHY MOVED
83,V3217,byte,%8.0g,1973,WTR NEW HEAD 72
84,V3301,float,%9.0g,1973,1973 FAMILY WEIGHT
85,ER30117,float,%9.0g,1973,1973 INTERVIEW NUMBER
86,ER30118,float,%9.0g,1973,SEQUENCE NUMBER                       73
87,ER30119,byte,%8.0g,1973,RELATIONSHIP TO HEAD                  73
88,ER30120,float,%9.0g,1973,AGE OF INDIVIDUAL                     73
89,ER30121,byte,%8.0g,1973,MARR PAIRS INDICATOR                  73
90,ER30122,byte,%8.0g,1973,WHETHER MOVED IN/OUT                  73
91,ER30137,float,%9.0g,1973,INDIVIDUAL WEIGHT                     73
92,V3410,byte,%8.0g,1974,FAM COMP CHG
93,V3417,float,%9.0g,1974,HOUSE VALUE
94,V3507,float,%9.0g,1974,# IN FU
95,V3522,byte,%8.0g,1974,HOUSING STATUS
96,V3524,byte,%8.0g,1974,MOVED SINCE SPRING?
97,V3525,byte,%8.0g,1974,WHY MOVED?
98,V3639,byte,%8.0g,1974,WTR NEW HEAD IN FU
99,V3721,float,%9.0g,1974,1974 FAMILY WEIGHT
100,ER30138,float,%9.0g,1974,1974 INTERVIEW NUMBER
101,ER30139,float,%9.0g,1974,SEQUENCE NUMBER                       74
102,ER30140,byte,%8.0g,1974,RELATIONSHIP TO HEAD                  74
103,ER30141,float,%9.0g,1974,AGE OF INDIVIDUAL                     74
104,ER30142,byte,%8.0g,1974,MARR PAIRS INDICATOR                  74
105,ER30143,byte,%8.0g,1974,WHETHER MOVED IN/OUT                  74
106,ER30159,float,%9.0g,1974,INDIVIDUAL WEIGHT                     74
107,V3810,byte,%8.0g,1975,CHANGE IN FU COMP
108,V3817,float,%9.0g,1975,HOUSE VALUE
109,V3894,float,%9.0g,1975,ASSET Y OTHERS
110,V3920,float,%9.0g,1975,# IN FU
111,V3938,byte,%8.0g,1975,TYPE DWELLING UNIT
112,V3939,byte,%8.0g,1975,OWN/RENT
113,V3941,byte,%8.0g,1975,WTR MOVED SINCE SPG
114,V3943,byte,%8.0g,1975,WHY MOVED
115,V4114,byte,%8.0g,1975,WTR NEW HEAD
116,V4224,float,%9.0g,1975,1975 FAMILY WEIGHT
117,ER30160,float,%9.0g,1975,1975 INTERVIEW NUMBER
118,ER30161,float,%9.0g,1975,SEQUENCE NUMBER                       75
119,ER30162,byte,%8.0g,1975,RELATIONSHIP TO HEAD                  75
120,ER30163,float,%9.0g,1975,AGE OF INDIVIDUAL                     75
121,ER30164,byte,%8.0g,1975,MARR PAIRS INDICATOR                  75
